model,display_name,category,used_samples,precision,recall,f1,iou
unet,U-Net,large_scale_contiguous,96,0.8979095362033966,0.8120384641642118,0.8528178357659593,0.7434022869684387
unet,U-Net,fragmented_or_linear,235,0.629684631883577,0.6552532735253997,0.6422145558667319,0.4729867785839346
unet,U-Net,complex_boundary,20,0.4713400088241936,0.6055560626221672,0.5300842018415179,0.36062215890397387
unet,U-Net,other,149,0.6109406056221618,0.6139845168549942,0.6124587742133148,0.44139861939815556
deeplabv3plus,DeepLabV3+,large_scale_contiguous,96,0.9010592635725421,0.8266329504756673,0.8622430167048298,0.7578446347835345
deeplabv3plus,DeepLabV3+,fragmented_or_linear,235,0.6006375720281405,0.6897861004923287,0.6421324317440203,0.4728976920025457
deeplabv3plus,DeepLabV3+,complex_boundary,20,0.58869213664845,0.6994941609941586,0.6393278825674512,0.4698618290707353
deeplabv3plus,DeepLabV3+,other,149,0.6208762122559557,0.6963022026399466,0.6564296316874996,0.48857108982718694
segformer,SegFormer,large_scale_contiguous,96,0.8996951801508531,0.7327610650250063,0.8076928203312668,0.6774200830150765
segformer,SegFormer,fragmented_or_linear,235,0.5961219275851841,0.5108638105044606,0.5502096480952519,0.37950980583435184
segformer,SegFormer,complex_boundary,20,0.5793723739495481,0.508721279345123,0.5417530957774095,0.37150985956996163
segformer,SegFormer,other,149,0.5838059120417208,0.4547132622380008,0.5112361808943152,0.34339643464375513
